generation,p_transport,modular_cost,mass_modular,mass_global,top1_strategy,top1_mass,top2_strategy,top2_mass,top3_strategy,top3_mass
122,0.5,0.05,0.9985968266343626,0.0014031733656379285,"M(0.5,0.01)",0.9823692101702763,"M(0.5,0.05)",0.0029387963166739852,"M(1,0.01)",0.0007326858057251269
123,0.5,0.05,0.99859682866394,0.0014031713360598851,"M(0.5,0.01)",0.9824210885912416,"M(0.5,0.05)",0.0028869834644046077,"M(1,0.01)",0.0007326667104360815
124,0.5,0.05,0.9985968305813078,0.0014031694186922203,"M(0.5,0.01)",0.9824700988555549,"M(0.5,0.05)",0.0028380351124438516,"M(1,0.01)",0.0007326486987264201
125,0.5,0.05,0.9985968323926587,0.0014031676073409667,"M(0.5,0.01)",0.982516399272929,"M(0.5,0.05)",0.0027917931576964864,"M(1,0.01)",0.00073263170655962
126,0.5,0.05,0.9985968341038468,0.0014031658961530206,"M(0.5,0.01)",0.9825601394428658,"M(0.5,0.05)",0.0027481081951721696,"M(1,0.01)",0.0007326156740640923
127,0.5,0.05,0.9985968357204028,0.0014031642795974888,"M(0.5,0.01)",0.9826014607309206,"M(0.5,0.05)",0.0027068390424959126,"M(1,0.01)",0.0007326005452079213
128,0.5,0.05,0.9985968372475517,0.0014031627524480512,"M(0.5,0.01)",0.9826404967192427,"M(0.5,0.05)",0.0026678522900836434,"M(1,0.01)",0.0007325862675060416
129,0.5,0.05,0.9985968386902332,0.0014031613097662773,"M(0.5,0.01)",0.9826773736327489,"M(0.5,0.05)",0.0026310218756330863,"M(1,0.01)",0.0007325727917558626
130,0.5,0.05,0.9985968400531144,0.0014031599468858449,"M(0.5,0.01)",0.9827122107422127,"M(0.5,0.05)",0.0025962286816472746,"M(1,0.01)",0.0007325600717979004
131,0.5,0.05,0.9985968413406024,0.0014031586593976184,"M(0.5,0.01)",0.9827451207454965,"M(0.5,0.05)",0.00256336015477223,"M(1,0.01)",0.0007325480642984579
132,0.5,0.05,0.9985968425568644,0.0014031574431355367,"M(0.5,0.01)",0.9827762101280878,"M(0.5,0.05)",0.0025323099457917114,"M(1,0.01)",0.0007325367285517941
133,0.5,0.05,0.9985968437058369,0.0014031562941632708,"M(0.5,0.01)",0.9828055795040402,"M(0.5,0.05)",0.0025029775691805503,"M(1,0.01)",0.0007325260262995645
134,0.5,0.05,0.9985968447912386,0.001403155208761605,"M(0.5,0.01)",0.982833323938364,"M(0.5,0.05)",0.002475268081174057,"M(1,0.01)",0.0007325159215656165
135,0.5,0.05,0.9985968458165834,0.0014031541834165053,"M(0.5,0.01)",0.9828595332518585,"M(0.5,0.05)",0.0024490917753643695,"M(1,0.01)",0.0007325063805044719
136,0.5,0.05,0.9985968467851922,0.0014031532148078454,"M(0.5,0.01)",0.9828842923093312,"M(0.5,0.05)",0.002424363894885503,"M(1,0.01)",0.0007324973712620484
137,0.5,0.05,0.9985968477002016,0.0014031522997987379,"M(0.5,0.01)",0.9829076812920885,"M(0.5,0.05)",0.002401004360297335,"M(1,0.01)",0.0007324888638473517
138,0.5,0.05,0.9985968485645746,0.0014031514354254572,"M(0.5,0.01)",0.9829297759555483,"M(0.5,0.05)",0.0023789375123249527,"M(1,0.01)",0.0007324808300140366
139,0.5,0.05,0.9985968493811122,0.0014031506188879087,"M(0.5,0.01)",0.9829506478727764,"M(0.5,0.05)",0.002358091868653724,"M(1,0.01)",0.0007324732431508682
140,0.5,0.05,0.9985968501524592,0.0014031498475406202,"M(0.5,0.01)",0.9829703646647026,"M(0.5,0.05)",0.002338399894022267,"M(1,0.01)",0.0007324660781802308
141,0.5,0.05,0.9985968508811156,0.001403149118884227,"M(0.5,0.01)",0.9829889902177386,"M(0.5,0.05)",0.0023197977828952497,"M(1,0.01)",0.0007324593114639373
142,0.5,0.05,0.9985968515694424,0.0014031484305574245,"M(0.5,0.01)",0.9830065848894795,"M(0.5,0.05)",0.0023022252540357575,"M(1,0.01)",0.0007324529207156787
143,0.5,0.05,0.9985968522196705,0.0014031477803293584,"M(0.5,0.01)",0.9830232057031317,"M(0.5,0.05)",0.0022856253563328585,"M(1,0.01)",0.0007324468849195261
144,0.5,0.05,0.9985968528339073,0.0014031471660924367,"M(0.5,0.01)",0.9830389065312843,"M(0.5,0.05)",0.002269944285274135,"M(1,0.01)",0.0007324411842539679
145,0.5,0.05,0.9985968534141442,0.0014031465858555328,"M(0.5,0.01)",0.9830537382695941,"M(0.5,0.05)",0.0022551312094853055,"M(1,0.01)",0.000732435800021016
146,0.5,0.05,0.9985968539622622,0.001403146037737564,"M(0.5,0.01)",0.9830677490009417,"M(0.5,0.05)",0.0022411381067898545,"M(1,0.01)",0.0007324307145799729
147,0.5,0.05,0.9985968544800385,0.0014031455199614198,"M(0.5,0.01)",0.9830809841505703,"M(0.5,0.05)",0.0022279196092707247,"M(1,0.01)",0.0007324259112854828
148,0.5,0.05,0.9985968549691518,0.0014031450308482274,"M(0.5,0.01)",0.9830934866327031,"M(0.5,0.05)",0.0022154328568438383,"M(1,0.01)",0.0007324213744295413
149,0.5,0.05,0.9985968554311877,0.0014031445688119292,"M(0.5,0.01)",0.9831052969890988,"M(0.5,0.05)",0.002203637358879456,"M(1,0.01)",0.0007324170891871572
150,0.5,0.05,0.9985968558676455,0.001403144132354162,"M(0.5,0.01)",0.9831164535199914,"M(0.5,0.05)",0.0021924948634323,"M(1,0.01)",0.000732413041565402
151,0.5,0.05,0.998596856279941,0.0014031437200594137,"M(0.5,0.01)",0.983126992407827,"M(0.5,0.05)",0.00218196923366495,"M(1,0.01)",0.0007324092183555978
