trial,epsilon,T_env,recall,leakage,selectivity,N,cluster_sizes,p_in,p_out,eps_values,t_end,n_trials,seed,bootstrap_B
12,3.0,0.1,0.3303083502544336,0.14327052265910598,2.3054871590045107,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
12,4.0,0.1,0.38157122375484004,0.13964514382733512,2.732434607440668,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
12,5.0,0.1,0.4639109140924451,0.13742466609072057,3.3757470713896107,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
12,8.0,0.1,0.5332894956268248,0.13320655940601944,4.003477741672878,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
13,0.0,0.1,0.2666666666666674,0.6666666666666685,0.39999999999999997,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
13,0.5,0.1,0.22396444315207586,0.7086101828843226,0.3160615646820828,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
13,1.0,0.1,0.22300251173246335,0.7114635781670577,0.31344192250428937,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
13,2.0,0.1,0.30351021166857167,0.6554587147488238,0.46305008208622084,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
13,3.0,0.1,0.37028910866165027,0.6122500311679944,0.6048004733544018,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
13,4.0,0.1,0.44550266706013025,0.5177598479730031,0.8604426720307587,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
13,5.0,0.1,0.44659487698514266,0.4427567700442316,1.0086686578288293,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
13,8.0,0.1,0.40697987392684176,0.3896996772183699,1.044342342882642,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
14,0.0,0.1,0.2666666666666594,0.6666666666666483,0.4000000000000001,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
14,0.5,0.1,0.24719651434351697,0.7276826773638072,0.3397037225608303,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
14,1.0,0.1,0.19211784128253484,0.8000472014639143,0.24013313330888542,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
14,2.0,0.1,0.13468693670990944,0.8643753952847283,0.15581995675101684,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
14,3.0,0.1,0.13488519731608906,0.8650020329338703,0.15593627781265695,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
14,4.0,0.1,0.24179930263641614,0.7581634984012027,0.3189276497039449,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
14,5.0,0.1,0.37896597482689,0.6210228235968812,0.6102287394720369,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
14,8.0,0.1,0.5260400409768167,0.47395964823636827,1.1098836007120914,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
15,0.0,0.1,0.26666666666666305,0.6666666666666576,0.4,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
15,0.5,0.1,0.25286634476102243,0.6113238878281502,0.41363727116795723,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
